level1,level2,level3,level4,level1_description,level2_description,level3_description,level4_description
H,H01,H01C,H01CB,"SYSTEMIC HORMONAL PREPARATIONS, EXCL. SEX HORMONES AND INSULINS",PITUITARY AND HYPOTHALAMIC HORMONES AND ANALOGUES,HYPOTHALAMIC HORMONES,Somatostatin and analogues
J,J01,J01X,J01XB,ANTIINFECTIVES FOR SYSTEMIC USE,ANTIBACTERIALS FOR SYSTEMIC USE,OTHER ANTIBACTERIALS,Polymyxins
B,B03,B03A,B03AB,BLOOD AND BLOOD FORMING ORGANS,ANTIANEMIC PREPARATIONS,IRON PREPARATIONS,"Iron trivalent, oral preparations"
N,N06,N06D,N06DA,NERVOUS SYSTEM,PSYCHOANALEPTICS,ANTI-DEMENTIA DRUGS,Anticholinesterases
N,N01,N01A,N01AB,NERVOUS SYSTEM,ANESTHETICS,"ANESTHETICS, GENERAL",Halogenated hydrocarbons
S,S01,S01F,S01FB,SENSORY ORGANS,OPHTHALMOLOGICALS,MYDRIATICS AND CYCLOPLEGICS,Sympathomimetics excl. antiglaucoma preparations
G,G03,G03E,G03EK,GENITO URINARY SYSTEM AND SEX HORMONES,SEX HORMONES AND MODULATORS OF THE GENITAL SYSTEM,ANDROGENS AND FEMALE SEX HORMONES IN COMBINATION,Androgens and female sex hormones in combination with other drugs
R,R03,R03B,R03BX,RESPIRATORY SYSTEM,DRUGS FOR OBSTRUCTIVE AIRWAY DISEASES,"OTHER DRUGS FOR OBSTRUCTIVE AIRWAY DISEASES, INHALANTS","Other drugs for obstructive airway diseases, inhalants"
A,A16,A16A,A16AA,ALIMENTARY TRACT AND METABOLISM,OTHER ALIMENTARY TRACT AND METABOLISM PRODUCTS,OTHER ALIMENTARY TRACT AND METABOLISM PRODUCTS,Amino acids and derivatives
L,L04,L04A,L04AA,ANTINEOPLASTIC AND IMMUNOMODULATING AGENTS,IMMUNOSUPPRESSANTS,IMMUNOSUPPRESSANTS,Selective immunosuppressants
P,P03,P03B,P03BA,"ANTIPARASITIC PRODUCTS, INSECTICIDES AND REPELLENTS","ECTOPARASITICIDES, INCL. SCABICIDES, INSECTICIDES AND REPELLENTS",INSECTICIDES AND REPELLENTS,Pyrethrines
B,B03,B03A,B03AE,BLOOD AND BLOOD FORMING ORGANS,ANTIANEMIC PREPARATIONS,IRON PREPARATIONS,Iron in other combinations
C,C02,C02L,C02LF,CARDIOVASCULAR SYSTEM,ANTIHYPERTENSIVES,ANTIHYPERTENSIVES AND DIURETICS IN COMBINATION,Guanidine derivatives and diuretics
A,A07,A07B,A07BC,ALIMENTARY TRACT AND METABOLISM,"ANTIDIARRHEALS, INTESTINAL ANTIINFLAMMATORY/ANTIINFECTIVE AGENTS",INTESTINAL ADSORBENTS,Other intestinal adsorbents
C,C01,C01B,C01BA,CARDIOVASCULAR SYSTEM,CARDIAC THERAPY,"ANTIARRHYTHMICS, CLASS I AND III","Antiarrhythmics, class Ia"
S,S02,S02C,S02CA,SENSORY ORGANS,OTOLOGICALS,CORTICOSTEROIDS AND ANTIINFECTIVES IN COMBINATION,Corticosteroids and antiinfectives in combination
G,G03,G03C,G03CX,GENITO URINARY SYSTEM AND SEX HORMONES,SEX HORMONES AND MODULATORS OF THE GENITAL SYSTEM,ESTROGENS,Other estrogens
M,M03,M03A,M03AC,MUSCULO-SKELETAL SYSTEM,MUSCLE RELAXANTS,"MUSCLE RELAXANTS, PERIPHERALLY ACTING AGENTS",Other quaternary ammonium compounds
J,J07,J07B,J07BX,ANTIINFECTIVES FOR SYSTEMIC USE,VACCINES,VIRAL VACCINES,Other viral vaccines
C,C02,C02L,C02LE,CARDIOVASCULAR SYSTEM,ANTIHYPERTENSIVES,ANTIHYPERTENSIVES AND DIURETICS IN COMBINATION,Alpha-adrenoreceptor antagonists and diuretics
C,C10,C10A,C10AX,CARDIOVASCULAR SYSTEM,LIPID MODIFYING AGENTS,"LIPID MODIFYING AGENTS, PLAIN",Other lipid modifying agents
G,G03,G03X,G03XB,GENITO URINARY SYSTEM AND SEX HORMONES,SEX HORMONES AND MODULATORS OF THE GENITAL SYSTEM,OTHER SEX HORMONES AND MODULATORS OF THE GENITAL SYSTEM,Progesterone receptor modulators
N,N01,N01B,N01BC,NERVOUS SYSTEM,ANESTHETICS,"ANESTHETICS, LOCAL",Esters of benzoic acid
D,D07,D07X,D07XB,DERMATOLOGICALS,"CORTICOSTEROIDS, DERMATOLOGICAL PREPARATIONS","CORTICOSTEROIDS, OTHER COMBINATIONS","Corticosteroids, moderately potent, other combinations"
R,R03,R03A,R03AA,RESPIRATORY SYSTEM,DRUGS FOR OBSTRUCTIVE AIRWAY DISEASES,"ADRENERGICS, INHALANTS",Alpha- and beta-adrenoreceptor agonists
M,M01,M01B,M01BA,MUSCULO-SKELETAL SYSTEM,ANTIINFLAMMATORY AND ANTIRHEUMATIC PRODUCTS,ANTIINFLAMMATORY/ANTIRHEUMATIC AGENTS IN COMBINATION,Antiinflammatory/antirheumatic agents in combination with corticosteroids
A,A09,A09A,A09AC,ALIMENTARY TRACT AND METABOLISM,"DIGESTIVES, INCL. ENZYMES","DIGESTIVES, INCL. ENZYMES","Enzyme and acid preparations, combinations"
G,G02,G02A,G02AC,GENITO URINARY SYSTEM AND SEX HORMONES,OTHER GYNECOLOGICALS,UTEROTONICS,"Ergot alkaloids and oxytocin incl. analogues, in combination"
A,A03,A03F,A03FA,ALIMENTARY TRACT AND METABOLISM,DRUGS FOR FUNCTIONAL GASTROINTESTINAL DISORDERS,PROPULSIVES,Propulsives
B,B01,B01A,B01AD,BLOOD AND BLOOD FORMING ORGANS,ANTITHROMBOTIC AGENTS,ANTITHROMBOTIC AGENTS,Enzymes
H,H01,H01B,H01BB,"SYSTEMIC HORMONAL PREPARATIONS, EXCL. SEX HORMONES AND INSULINS",PITUITARY AND HYPOTHALAMIC HORMONES AND ANALOGUES,POSTERIOR PITUITARY LOBE HORMONES,Oxytocin and analogues
P,P01,P01B,P01BX,"ANTIPARASITIC PRODUCTS, INSECTICIDES AND REPELLENTS",ANTIPROTOZOALS,ANTIMALARIALS,Other antimalarials
C,C07,C07F,C07FX,CARDIOVASCULAR SYSTEM,BETA BLOCKING AGENTS,"BETA BLOCKING AGENTS, OTHER COMBINATIONS","Beta blocking agents, other combinations"
R,R01,R01B,R01BA,RESPIRATORY SYSTEM,NASAL PREPARATIONS,NASAL DECONGESTANTS FOR SYSTEMIC USE,Sympathomimetics
S,S03,S03C,S03CA,SENSORY ORGANS,OPHTHALMOLOGICAL AND OTOLOGICAL PREPARATIONS,CORTICOSTEROIDS AND ANTIINFECTIVES IN COMBINATION,Corticosteroids and antiinfectives in combination
J,J07,J07B,J07BH,ANTIINFECTIVES FOR SYSTEMIC USE,VACCINES,VIRAL VACCINES,Rota virus diarrhea vaccines
A,A07,A07X,A07XA,ALIMENTARY TRACT AND METABOLISM,"ANTIDIARRHEALS, INTESTINAL ANTIINFLAMMATORY/ANTIINFECTIVE AGENTS",OTHER ANTIDIARRHEALS,Other antidiarrheals
J,J07,J07B,J07BE,ANTIINFECTIVES FOR SYSTEMIC USE,VACCINES,VIRAL VACCINES,Mumps vaccines
A,A11,A11C,A11CC,ALIMENTARY TRACT AND METABOLISM,VITAMINS,"VITAMIN A AND D, INCL. COMBINATIONS OF THE TWO",Vitamin D and analogues
A,A06,A06A,A06AC,ALIMENTARY TRACT AND METABOLISM,DRUGS FOR CONSTIPATION,DRUGS FOR CONSTIPATION,Bulk-forming laxatives
D,D10,D10A,D10AB,DERMATOLOGICALS,ANTI-ACNE PREPARATIONS,ANTI-ACNE PREPARATIONS FOR TOPICAL USE,Preparations containing sulfur
L,L01,L01C,L01CC,ANTINEOPLASTIC AND IMMUNOMODULATING AGENTS,ANTINEOPLASTIC AGENTS,PLANT ALKALOIDS AND OTHER NATURAL PRODUCTS,Colchicine derivatives
C,C02,C02K,C02KB,CARDIOVASCULAR SYSTEM,ANTIHYPERTENSIVES,OTHER ANTIHYPERTENSIVES,Tyrosine hydroxylase inhibitors
D,D10,D10A,D10AA,DERMATOLOGICALS,ANTI-ACNE PREPARATIONS,ANTI-ACNE PREPARATIONS FOR TOPICAL USE,"Corticosteroids, combinations for treatment of acne"
A,A05,A05B,A05BA,ALIMENTARY TRACT AND METABOLISM,BILE AND LIVER THERAPY,"LIVER THERAPY, LIPOTROPICS",Liver therapy
P,P02,P02C,P02CA,"ANTIPARASITIC PRODUCTS, INSECTICIDES AND REPELLENTS",ANTHELMINTICS,ANTINEMATODAL AGENTS,Benzimidazole derivatives
P,P03,P03A,P03AA,"ANTIPARASITIC PRODUCTS, INSECTICIDES AND REPELLENTS","ECTOPARASITICIDES, INCL. SCABICIDES, INSECTICIDES AND REPELLENTS","ECTOPARASITICIDES, INCL. SCABICIDES",Sulfur containing products
V,V09,V09H,V09HX,VARIOUS,DIAGNOSTIC RADIOPHARMACEUTICALS,INFLAMMATION AND INFECTION DETECTION,Other diagnostic radiopharmaceuticals for inflammation and infection detection
M,M01,M01A,M01AE,MUSCULO-SKELETAL SYSTEM,ANTIINFLAMMATORY AND ANTIRHEUMATIC PRODUCTS,"ANTIINFLAMMATORY AND ANTIRHEUMATIC PRODUCTS, NON-STEROIDS",Propionic acid derivatives
C,C03,C03B,C03BX,CARDIOVASCULAR SYSTEM,DIURETICS,"LOW-CEILING DIURETICS, EXCL. THIAZIDES",Other low-ceiling diuretics
C,C07,C07D,C07DB,CARDIOVASCULAR SYSTEM,BETA BLOCKING AGENTS,"BETA BLOCKING AGENTS, THIAZIDES AND OTHER DIURETICS","Beta blocking agents, selective, thiazides and other diuretics"
G,G03,G03D,G03DB,GENITO URINARY SYSTEM AND SEX HORMONES,SEX HORMONES AND MODULATORS OF THE GENITAL SYSTEM,PROGESTOGENS,Pregnadien derivatives
G,G04,G04B,G04BD,GENITO URINARY SYSTEM AND SEX HORMONES,UROLOGICALS,UROLOGICALS,Drugs for urinary frequency and incontinence
N,N06,N06A,N06AX,NERVOUS SYSTEM,PSYCHOANALEPTICS,ANTIDEPRESSANTS,Other antidepressants
R,R01,R01A,R01AX,RESPIRATORY SYSTEM,NASAL PREPARATIONS,DECONGESTANTS AND OTHER NASAL PREPARATIONS FOR TOPICAL USE,Other nasal preparations
C,C02,C02L,C02LA,CARDIOVASCULAR SYSTEM,ANTIHYPERTENSIVES,ANTIHYPERTENSIVES AND DIURETICS IN COMBINATION,Rauwolfia alkaloids and diuretics in combination
A,A08,A08A,A08AB,ALIMENTARY TRACT AND METABOLISM,"ANTIOBESITY PREPARATIONS, EXCL. DIET PRODUCTS","ANTIOBESITY PREPARATIONS, EXCL. DIET PRODUCTS",Peripherally acting antiobesity products
A,A14,A14A,A14AB,ALIMENTARY TRACT AND METABOLISM,ANABOLIC AGENTS FOR SYSTEMIC USE,ANABOLIC STEROIDS,Estren derivatives
G,G01,G01A,G01AF,GENITO URINARY SYSTEM AND SEX HORMONES,GYNECOLOGICAL ANTIINFECTIVES AND ANTISEPTICS,"ANTIINFECTIVES AND ANTISEPTICS, EXCL. COMBINATIONS WITH CORTICOSTEROIDS",Imidazole derivatives
R,R05,R05F,R05FA,RESPIRATORY SYSTEM,COUGH AND COLD PREPARATIONS,"COUGH SUPPRESSANTS AND EXPECTORANTS, COMBINATIONS",Opium derivatives and expectorants
A,A08,A08A,A08AX,ALIMENTARY TRACT AND METABOLISM,"ANTIOBESITY PREPARATIONS, EXCL. DIET PRODUCTS","ANTIOBESITY PREPARATIONS, EXCL. DIET PRODUCTS",Other antiobesity drugs
C,C02,C02A,C02AA,CARDIOVASCULAR SYSTEM,ANTIHYPERTENSIVES,"ANTIADRENERGIC AGENTS, CENTRALLY ACTING",Rauwolfia alkaloids
J,J07,J07B,J07BF,ANTIINFECTIVES FOR SYSTEMIC USE,VACCINES,VIRAL VACCINES,Poliomyelitis vaccines
V,V09,V09B,V09BA,VARIOUS,DIAGNOSTIC RADIOPHARMACEUTICALS,SKELETON,Technetium (99mTc) compounds
V,V09,V09E,V09EB,VARIOUS,DIAGNOSTIC RADIOPHARMACEUTICALS,RESPIRATORY SYSTEM,"Technetium (99mTc), particles for injection"
M,M03,M03B,M03BB,MUSCULO-SKELETAL SYSTEM,MUSCLE RELAXANTS,"MUSCLE RELAXANTS, CENTRALLY ACTING AGENTS","Oxazol, thiazine, and triazine derivatives"
C,C10,C10A,C10AC,CARDIOVASCULAR SYSTEM,LIPID MODIFYING AGENTS,"LIPID MODIFYING AGENTS, PLAIN",Bile acid sequestrants
V,V09,V09D,V09DB,VARIOUS,DIAGNOSTIC RADIOPHARMACEUTICALS,HEPATIC AND RETICULO ENDOTHELIAL SYSTEM,"Technetium (99mTc), particles and colloids"
V,V09,V09C,V09CX,VARIOUS,DIAGNOSTIC RADIOPHARMACEUTICALS,RENAL SYSTEM,Other renal system diagnostic radiopharmaceuticals
A,A10,A10B,A10BH,ALIMENTARY TRACT AND METABOLISM,DRUGS USED IN DIABETES,"BLOOD GLUCOSE LOWERING DRUGS, EXCL. INSULINS",Dipeptidyl peptidase 4 (DPP-4) inhibitors
B,B01,B01A,B01AF,BLOOD AND BLOOD FORMING ORGANS,ANTITHROMBOTIC AGENTS,ANTITHROMBOTIC AGENTS,Direct factor Xa inhibitors
V,V04,V04C,V04CK,VARIOUS,DIAGNOSTIC AGENTS,OTHER DIAGNOSTIC AGENTS,Tests for pancreatic function
P,P02,P02B,P02BA,"ANTIPARASITIC PRODUCTS, INSECTICIDES AND REPELLENTS",ANTHELMINTICS,ANTITREMATODALS,Quinoline derivatives and related substances
G,G02,G02B,G02BB,GENITO URINARY SYSTEM AND SEX HORMONES,OTHER GYNECOLOGICALS,CONTRACEPTIVES FOR TOPICAL USE,Intravaginal contraceptives
G,G03,G03D,G03DA,GENITO URINARY SYSTEM AND SEX HORMONES,SEX HORMONES AND MODULATORS OF THE GENITAL SYSTEM,PROGESTOGENS,Pregnen (4) derivatives
C,C02,C02K,C02KX,CARDIOVASCULAR SYSTEM,ANTIHYPERTENSIVES,OTHER ANTIHYPERTENSIVES,Antihypertensives for pulmonary arterial hypertension
L,L03,L03A,L03AC,ANTINEOPLASTIC AND IMMUNOMODULATING AGENTS,IMMUNOSTIMULANTS,IMMUNOSTIMULANTS,Interleukins
V,V08,V08A,V08AD,VARIOUS,CONTRAST MEDIA,"X-RAY CONTRAST MEDIA, IODINATED",Non-watersoluble X-ray contrast media
J,J07,J07A,J07AF,ANTIINFECTIVES FOR SYSTEMIC USE,VACCINES,BACTERIAL VACCINES,Diphtheria vaccines
C,C04,C04A,C04AB,CARDIOVASCULAR SYSTEM,PERIPHERAL VASODILATORS,PERIPHERAL VASODILATORS,Imidazoline derivatives
M,M09,M09A,M09AA,MUSCULO-SKELETAL SYSTEM,OTHER DRUGS FOR DISORDERS OF THE MUSCULO-SKELETAL SYSTEM,OTHER DRUGS FOR DISORDERS OF THE MUSCULO-SKELETAL SYSTEM,Quinine and derivatives
A,A11,A11G,A11GA,ALIMENTARY TRACT AND METABOLISM,VITAMINS,"ASCORBIC ACID (VITAMIN C), INCL. COMBINATIONS","Ascorbic acid (vitamin C), plain"
V,V01,V01A,V01AA,VARIOUS,ALLERGENS,ALLERGENS,Allergen extracts
G,G03,G03F,G03FA,GENITO URINARY SYSTEM AND SEX HORMONES,SEX HORMONES AND MODULATORS OF THE GENITAL SYSTEM,PROGESTOGENS AND ESTROGENS IN COMBINATION,"Progestogens and estrogens, fixed combinations"
A,A12,A12B,A12BA,ALIMENTARY TRACT AND METABOLISM,MINERAL SUPPLEMENTS,POTASSIUM,Potassium
A,A06,A06A,A06AX,ALIMENTARY TRACT AND METABOLISM,DRUGS FOR CONSTIPATION,DRUGS FOR CONSTIPATION,Other drugs for constipation
G,G04,G04C,G04CX,GENITO URINARY SYSTEM AND SEX HORMONES,UROLOGICALS,DRUGS USED IN BENIGN PROSTATIC HYPERTROPHY,Other drugs used in benign prostatic hypertrophy
G,G01,G01A,G01AB,GENITO URINARY SYSTEM AND SEX HORMONES,GYNECOLOGICAL ANTIINFECTIVES AND ANTISEPTICS,"ANTIINFECTIVES AND ANTISEPTICS, EXCL. COMBINATIONS WITH CORTICOSTEROIDS",Arsenic compounds
N,N01,N01A,N01AA,NERVOUS SYSTEM,ANESTHETICS,"ANESTHETICS, GENERAL",Ethers
M,M04,M04A,M04AC,MUSCULO-SKELETAL SYSTEM,ANTIGOUT PREPARATIONS,ANTIGOUT PREPARATIONS,Preparations with no effect on uric acid metabolism
R,R05,R05C,R05CB,RESPIRATORY SYSTEM,COUGH AND COLD PREPARATIONS,"EXPECTORANTS, EXCL. COMBINATIONS WITH COUGH SUPPRESSANTS",Mucolytics
D,D02,D02B,D02BB,DERMATOLOGICALS,EMOLLIENTS AND PROTECTIVES,PROTECTIVES AGAINST UV-RADIATION,Protectives against UV-radiation for systemic use
N,N03,N03A,N03AA,NERVOUS SYSTEM,ANTIEPILEPTICS,ANTIEPILEPTICS,Barbiturates and derivatives
G,G03,G03G,G03GA,GENITO URINARY SYSTEM AND SEX HORMONES,SEX HORMONES AND MODULATORS OF THE GENITAL SYSTEM,GONADOTROPINS AND OTHER OVULATION STIMULANTS,Gonadotropins
H,H03,H03B,H03BC,"SYSTEMIC HORMONAL PREPARATIONS, EXCL. SEX HORMONES AND INSULINS",THYROID THERAPY,ANTITHYROID PREPARATIONS,Perchlorates
P,P03,P03A,P03AB,"ANTIPARASITIC PRODUCTS, INSECTICIDES AND REPELLENTS","ECTOPARASITICIDES, INCL. SCABICIDES, INSECTICIDES AND REPELLENTS","ECTOPARASITICIDES, INCL. SCABICIDES",Chlorine containing products
J,J07,J07A,J07AR,ANTIINFECTIVES FOR SYSTEMIC USE,VACCINES,BACTERIAL VACCINES,Typhus (exanthematicus) vaccines
N,N03,N03A,N03AE,NERVOUS SYSTEM,ANTIEPILEPTICS,ANTIEPILEPTICS,Benzodiazepine derivatives
A,A01,A01A,A01AD,ALIMENTARY TRACT AND METABOLISM,STOMATOLOGICAL PREPARATIONS,STOMATOLOGICAL PREPARATIONS,Other agents for local oral treatment
C,C02,C02D,C02DB,CARDIOVASCULAR SYSTEM,ANTIHYPERTENSIVES,"ARTERIOLAR SMOOTH MUSCLE, AGENTS ACTING ON",Hydrazinophthalazine derivatives
V,V09,V09A,V09AX,VARIOUS,DIAGNOSTIC RADIOPHARMACEUTICALS,CENTRAL NERVOUS SYSTEM,Other central nervous system diagnostic radiopharmaceuticals
S,S01,S01F,S01FA,SENSORY ORGANS,OPHTHALMOLOGICALS,MYDRIATICS AND CYCLOPLEGICS,Anticholinergics
J,J01,J01X,J01XD,ANTIINFECTIVES FOR SYSTEMIC USE,ANTIBACTERIALS FOR SYSTEMIC USE,OTHER ANTIBACTERIALS,Imidazole derivatives
J,J07,J07A,J07AL,ANTIINFECTIVES FOR SYSTEMIC USE,VACCINES,BACTERIAL VACCINES,Pneumococcal vaccines
C,C02,C02C,C02CC,CARDIOVASCULAR SYSTEM,ANTIHYPERTENSIVES,"ANTIADRENERGIC AGENTS, PERIPHERALLY ACTING",Guanidine derivatives
N,N01,N01A,N01AH,NERVOUS SYSTEM,ANESTHETICS,"ANESTHETICS, GENERAL",Opioid anesthetics
N,N03,N03A,N03AF,NERVOUS SYSTEM,ANTIEPILEPTICS,ANTIEPILEPTICS,Carboxamide derivatives
N,N06,N06A,N06AG,NERVOUS SYSTEM,PSYCHOANALEPTICS,ANTIDEPRESSANTS,Monoamine oxidase A inhibitors
J,J05,J05A,J05AA,ANTIINFECTIVES FOR SYSTEMIC USE,ANTIVIRALS FOR SYSTEMIC USE,DIRECT ACTING ANTIVIRALS,Thiosemicarbazones
B,B05,B05X,B05XA,BLOOD AND BLOOD FORMING ORGANS,BLOOD SUBSTITUTES AND PERFUSION SOLUTIONS,I.V. SOLUTION ADDITIVES,Electrolyte solutions
R,R05,R05D,R05DA,RESPIRATORY SYSTEM,COUGH AND COLD PREPARATIONS,"COUGH SUPPRESSANTS, EXCL. COMBINATIONS WITH EXPECTORANTS",Opium alkaloids and derivatives
B,B05,B05X,B05XB,BLOOD AND BLOOD FORMING ORGANS,BLOOD SUBSTITUTES AND PERFUSION SOLUTIONS,I.V. SOLUTION ADDITIVES,Amino acids
G,G01,G01A,G01AX,GENITO URINARY SYSTEM AND SEX HORMONES,GYNECOLOGICAL ANTIINFECTIVES AND ANTISEPTICS,"ANTIINFECTIVES AND ANTISEPTICS, EXCL. COMBINATIONS WITH CORTICOSTEROIDS",Other antiinfectives and antiseptics
N,N05,N05A,N05AC,NERVOUS SYSTEM,PSYCHOLEPTICS,ANTIPSYCHOTICS,Phenothiazines with piperidine structure
B,B02,B02A,B02AB,BLOOD AND BLOOD FORMING ORGANS,ANTIHEMORRHAGICS,ANTIFIBRINOLYTICS,Proteinase inhibitors
J,J01,J01C,J01CA,ANTIINFECTIVES FOR SYSTEMIC USE,ANTIBACTERIALS FOR SYSTEMIC USE,"BETA-LACTAM ANTIBACTERIALS, PENICILLINS",Penicillins with extended spectrum
N,N05,N05A,N05AE,NERVOUS SYSTEM,PSYCHOLEPTICS,ANTIPSYCHOTICS,Indole derivatives
C,C07,C07B,C07BA,CARDIOVASCULAR SYSTEM,BETA BLOCKING AGENTS,BETA BLOCKING AGENTS AND THIAZIDES,"Beta blocking agents, non-selective, and thiazides"
C,C01,C01C,C01CA,CARDIOVASCULAR SYSTEM,CARDIAC THERAPY,CARDIAC STIMULANTS EXCL. CARDIAC GLYCOSIDES,Adrenergic and dopaminergic agents
S,S01,S01A,S01AA,SENSORY ORGANS,OPHTHALMOLOGICALS,ANTIINFECTIVES,Antibiotics
S,S01,S01A,S01AX,SENSORY ORGANS,OPHTHALMOLOGICALS,ANTIINFECTIVES,Other antiinfectives
C,C03,C03A,C03AH,CARDIOVASCULAR SYSTEM,DIURETICS,"LOW-CEILING DIURETICS, THIAZIDES","Thiazides, combinations with psycholeptics and/or analgesics"
D,D11,D11A,D11AH,DERMATOLOGICALS,OTHER DERMATOLOGICAL PREPARATIONS,OTHER DERMATOLOGICAL PREPARATIONS,"Agents for dermatitis, excluding corticosteroids"
N,N04,N04B,N04BB,NERVOUS SYSTEM,ANTI-PARKINSON DRUGS,DOPAMINERGIC AGENTS,Adamantane derivatives
C,C07,C07A,C07AG,CARDIOVASCULAR SYSTEM,BETA BLOCKING AGENTS,BETA BLOCKING AGENTS,Alpha and beta blocking agents
R,R02,R02A,R02AB,RESPIRATORY SYSTEM,THROAT PREPARATIONS,THROAT PREPARATIONS,Antibiotics
D,D04,D04A,D04AA,DERMATOLOGICALS,"ANTIPRURITICS, INCL. ANTIHISTAMINES, ANESTHETICS, ETC.","ANTIPRURITICS, INCL. ANTIHISTAMINES, ANESTHETICS, ETC.",Antihistamines for topical use
D,D08,D08A,D08AE,DERMATOLOGICALS,ANTISEPTICS AND DISINFECTANTS,ANTISEPTICS AND DISINFECTANTS,Phenol and derivatives
P,P02,P02B,P02BX,"ANTIPARASITIC PRODUCTS, INSECTICIDES AND REPELLENTS",ANTHELMINTICS,ANTITREMATODALS,Other antitrematodal agents
S,S01,S01K,S01KA,SENSORY ORGANS,OPHTHALMOLOGICALS,SURGICAL AIDS,Viscoelastic substances
J,J01,J01B,J01BA,ANTIINFECTIVES FOR SYSTEMIC USE,ANTIBACTERIALS FOR SYSTEMIC USE,AMPHENICOLS,Amphenicols
J,J04,J04A,J04AA,ANTIINFECTIVES FOR SYSTEMIC USE,ANTIMYCOBACTERIALS,DRUGS FOR TREATMENT OF TUBERCULOSIS,Aminosalicylic acid and derivatives
R,R03,R03A,R03AB,RESPIRATORY SYSTEM,DRUGS FOR OBSTRUCTIVE AIRWAY DISEASES,"ADRENERGICS, INHALANTS",Non-selective beta-adrenoreceptor agonists
V,V09,V09C,V09CA,VARIOUS,DIAGNOSTIC RADIOPHARMACEUTICALS,RENAL SYSTEM,Technetium (99mTc) compounds
C,C03,C03C,C03CB,CARDIOVASCULAR SYSTEM,DIURETICS,HIGH-CEILING DIURETICS,Sulfonamides and potassium in combination
